T_intended,T_requested,T_REC,94,131,171,193,211,304,335,Magnetogram
2021-08-01T12:00:00Z,2021-08-01T12:00:00Z,2021-08-01T11:59:59Z,2021-08-01T115959Z/aia.lev1_euv_12s.2021-08-01T120001Z.94.image_lev1.fits,2021-08-01T115959Z/aia.lev1_euv_12s.2021-08-01T120008Z.131.image_lev1.fits,2021-08-01T115959Z/aia.lev1_euv_12s.2021-08-01T120010Z.171.image_lev1.fits,2021-08-01T115959Z/aia.lev1_euv_12s.2021-08-01T120006Z.193.image_lev1.fits,2021-08-01T115959Z/aia.lev1_euv_12s.2021-08-01T115959Z.211.image_lev1.fits,2021-08-01T115959Z/aia.lev1_euv_12s.2021-08-01T120007Z.304.image_lev1.fits,2021-08-01T115959Z/aia.lev1_euv_12s.2021-08-01T120002Z.335.image_lev1.fits,2021-08-01T115959Z/hmi.m_720s.20210801_120000_TAI.3.magnetogram.fits
2021-08-02T12:00:00Z,2021-08-02T12:00:00Z,2021-08-02T11:59:59Z,2021-08-02T115959Z/aia.lev1_euv_12s.2021-08-02T120001Z.94.image_lev1.fits,2021-08-02T115959Z/aia.lev1_euv_12s.2021-08-02T120008Z.131.image_lev1.fits,2021-08-02T115959Z/aia.lev1_euv_12s.2021-08-02T120010Z.171.image_lev1.fits,2021-08-02T115959Z/aia.lev1_euv_12s.2021-08-02T120006Z.193.image_lev1.fits,2021-08-02T115959Z/aia.lev1_euv_12s.2021-08-02T115959Z.211.image_lev1.fits,2021-08-02T115959Z/aia.lev1_euv_12s.2021-08-02T120007Z.304.image_lev1.fits,2021-08-02T115959Z/aia.lev1_euv_12s.2021-08-02T120002Z.335.image_lev1.fits,2021-08-02T115959Z/hmi.m_720s.20210802_120000_TAI.3.magnetogram.fits
2021-08-03T12:00:00Z,2021-08-03T12:00:00Z,2021-08-03T11:59:59Z,2021-08-03T115959Z/aia.lev1_euv_12s.2021-08-03T120001Z.94.image_lev1.fits,2021-08-03T115959Z/aia.lev1_euv_12s.2021-08-03T120008Z.131.image_lev1.fits,2021-08-03T115959Z/aia.lev1_euv_12s.2021-08-03T120010Z.171.image_lev1.fits,2021-08-03T115959Z/aia.lev1_euv_12s.2021-08-03T120006Z.193.image_lev1.fits,2021-08-03T115959Z/aia.lev1_euv_12s.2021-08-03T115959Z.211.image_lev1.fits,2021-08-03T115959Z/aia.lev1_euv_12s.2021-08-03T120007Z.304.image_lev1.fits,2021-08-03T115959Z/aia.lev1_euv_12s.2021-08-03T120002Z.335.image_lev1.fits,2021-08-03T115959Z/hmi.m_720s.20210803_120000_TAI.3.magnetogram.fits
2021-08-04T12:00:00Z,2021-08-04T12:00:00Z,2021-08-04T11:59:59Z,2021-08-04T115959Z/aia.lev1_euv_12s.2021-08-04T120001Z.94.image_lev1.fits,2021-08-04T115959Z/aia.lev1_euv_12s.2021-08-04T120008Z.131.image_lev1.fits,2021-08-04T115959Z/aia.lev1_euv_12s.2021-08-04T120010Z.171.image_lev1.fits,2021-08-04T115959Z/aia.lev1_euv_12s.2021-08-04T120006Z.193.image_lev1.fits,2021-08-04T115959Z/aia.lev1_euv_12s.2021-08-04T115959Z.211.image_lev1.fits,2021-08-04T115959Z/aia.lev1_euv_12s.2021-08-04T120007Z.304.image_lev1.fits,2021-08-04T115959Z/aia.lev1_euv_12s.2021-08-04T120002Z.335.image_lev1.fits,2021-08-04T115959Z/hmi.m_720s.20210804_120000_TAI.3.magnetogram.fits
2021-08-05T12:00:00Z,2021-08-05T12:00:00Z,2021-08-05T11:59:59Z,2021-08-05T115959Z/aia.lev1_euv_12s.2021-08-05T120001Z.94.image_lev1.fits,2021-08-05T115959Z/aia.lev1_euv_12s.2021-08-05T120008Z.131.image_lev1.fits,2021-08-05T115959Z/aia.lev1_euv_12s.2021-08-05T120010Z.171.image_lev1.fits,2021-08-05T115959Z/aia.lev1_euv_12s.2021-08-05T120006Z.193.image_lev1.fits,2021-08-05T115959Z/aia.lev1_euv_12s.2021-08-05T115959Z.211.image_lev1.fits,2021-08-05T115959Z/aia.lev1_euv_12s.2021-08-05T120007Z.304.image_lev1.fits,2021-08-05T115959Z/aia.lev1_euv_12s.2021-08-05T120002Z.335.image_lev1.fits,2021-08-05T115959Z/hmi.m_720s.20210805_120000_TAI.3.magnetogram.fits
2021-08-06T12:00:00Z,2021-08-06T12:00:00Z,2021-08-06T11:59:59Z,2021-08-06T115959Z/aia.lev1_euv_12s.2021-08-06T120001Z.94.image_lev1.fits,2021-08-06T115959Z/aia.lev1_euv_12s.2021-08-06T120008Z.131.image_lev1.fits,2021-08-06T115959Z/aia.lev1_euv_12s.2021-08-06T120010Z.171.image_lev1.fits,2021-08-06T115959Z/aia.lev1_euv_12s.2021-08-06T120006Z.193.image_lev1.fits,2021-08-06T115959Z/aia.lev1_euv_12s.2021-08-06T115959Z.211.image_lev1.fits,2021-08-06T115959Z/aia.lev1_euv_12s.2021-08-06T120007Z.304.image_lev1.fits,2021-08-06T115959Z/aia.lev1_euv_12s.2021-08-06T120002Z.335.image_lev1.fits,2021-08-06T115959Z/hmi.m_720s.20210806_120000_TAI.3.magnetogram.fits
2021-08-07T12:00:00Z,2021-08-07T12:00:00Z,2021-08-07T11:59:59Z,2021-08-07T115959Z/aia.lev1_euv_12s.2021-08-07T120001Z.94.image_lev1.fits,2021-08-07T115959Z/aia.lev1_euv_12s.2021-08-07T120008Z.131.image_lev1.fits,2021-08-07T115959Z/aia.lev1_euv_12s.2021-08-07T120010Z.171.image_lev1.fits,2021-08-07T115959Z/aia.lev1_euv_12s.2021-08-07T120006Z.193.image_lev1.fits,2021-08-07T115959Z/aia.lev1_euv_12s.2021-08-07T115959Z.211.image_lev1.fits,2021-08-07T115959Z/aia.lev1_euv_12s.2021-08-07T120007Z.304.image_lev1.fits,2021-08-07T115959Z/aia.lev1_euv_12s.2021-08-07T120002Z.335.image_lev1.fits,2021-08-07T115959Z/hmi.m_720s.20210807_120000_TAI.3.magnetogram.fits
2021-08-08T12:00:00Z,2021-08-08T12:00:00Z,2021-08-08T11:59:59Z,2021-08-08T115959Z/aia.lev1_euv_12s.2021-08-08T120001Z.94.image_lev1.fits,2021-08-08T115959Z/aia.lev1_euv_12s.2021-08-08T120008Z.131.image_lev1.fits,2021-08-08T115959Z/aia.lev1_euv_12s.2021-08-08T120010Z.171.image_lev1.fits,2021-08-08T115959Z/aia.lev1_euv_12s.2021-08-08T120006Z.193.image_lev1.fits,2021-08-08T115959Z/aia.lev1_euv_12s.2021-08-08T115959Z.211.image_lev1.fits,2021-08-08T115959Z/aia.lev1_euv_12s.2021-08-08T120007Z.304.image_lev1.fits,2021-08-08T115959Z/aia.lev1_euv_12s.2021-08-08T120002Z.335.image_lev1.fits,2021-08-08T115959Z/hmi.m_720s.20210808_120000_TAI.3.magnetogram.fits
2021-08-09T12:00:00Z,2021-08-09T12:00:00Z,2021-08-09T11:59:59Z,2021-08-09T115959Z/aia.lev1_euv_12s.2021-08-09T120001Z.94.image_lev1.fits,2021-08-09T115959Z/aia.lev1_euv_12s.2021-08-09T120008Z.131.image_lev1.fits,2021-08-09T115959Z/aia.lev1_euv_12s.2021-08-09T120010Z.171.image_lev1.fits,2021-08-09T115959Z/aia.lev1_euv_12s.2021-08-09T120006Z.193.image_lev1.fits,2021-08-09T115959Z/aia.lev1_euv_12s.2021-08-09T115959Z.211.image_lev1.fits,2021-08-09T115959Z/aia.lev1_euv_12s.2021-08-09T120007Z.304.image_lev1.fits,2021-08-09T115959Z/aia.lev1_euv_12s.2021-08-09T120002Z.335.image_lev1.fits,2021-08-09T115959Z/hmi.m_720s.20210809_120000_TAI.3.magnetogram.fits
2021-08-10T12:00:00Z,2021-08-10T12:00:00Z,2021-08-10T11:59:59Z,2021-08-10T115959Z/aia.lev1_euv_12s.2021-08-10T120001Z.94.image_lev1.fits,2021-08-10T115959Z/aia.lev1_euv_12s.2021-08-10T120008Z.131.image_lev1.fits,2021-08-10T115959Z/aia.lev1_euv_12s.2021-08-10T120010Z.171.image_lev1.fits,2021-08-10T115959Z/aia.lev1_euv_12s.2021-08-10T120006Z.193.image_lev1.fits,2021-08-10T115959Z/aia.lev1_euv_12s.2021-08-10T115959Z.211.image_lev1.fits,2021-08-10T115959Z/aia.lev1_euv_12s.2021-08-10T120007Z.304.image_lev1.fits,2021-08-10T115959Z/aia.lev1_euv_12s.2021-08-10T120002Z.335.image_lev1.fits,2021-08-10T115959Z/hmi.m_720s.20210810_120000_TAI.3.magnetogram.fits
