T_intended,T_requested,T_REC,94,131,171,193,211,304,335,Magnetogram
2015-12-25T12:00:00Z,2015-12-25T12:00:00Z,2015-12-25T12:00:00Z,2015-12-25T120000Z/aia.lev1_euv_12s.2015-12-25T120002Z.94.image_lev1.fits,2015-12-25T120000Z/aia.lev1_euv_12s.2015-12-25T120009Z.131.image_lev1.fits,2015-12-25T120000Z/aia.lev1_euv_12s.2015-12-25T120011Z.171.image_lev1.fits,2015-12-25T120000Z/aia.lev1_euv_12s.2015-12-25T120007Z.193.image_lev1.fits,2015-12-25T120000Z/aia.lev1_euv_12s.2015-12-25T120000Z.211.image_lev1.fits,2015-12-25T120000Z/aia.lev1_euv_12s.2015-12-25T120008Z.304.image_lev1.fits,2015-12-25T120000Z/aia.lev1_euv_12s.2015-12-25T120003Z.335.image_lev1.fits,2015-12-25T120000Z/hmi.m_720s.20151225_120000_TAI.1.magnetogram.fits
2015-12-26T12:00:00Z,2015-12-26T12:00:00Z,2015-12-26T12:00:00Z,2015-12-26T120000Z/aia.lev1_euv_12s.2015-12-26T120002Z.94.image_lev1.fits,2015-12-26T120000Z/aia.lev1_euv_12s.2015-12-26T120009Z.131.image_lev1.fits,2015-12-26T120000Z/aia.lev1_euv_12s.2015-12-26T120011Z.171.image_lev1.fits,2015-12-26T120000Z/aia.lev1_euv_12s.2015-12-26T120007Z.193.image_lev1.fits,2015-12-26T120000Z/aia.lev1_euv_12s.2015-12-26T120000Z.211.image_lev1.fits,2015-12-26T120000Z/aia.lev1_euv_12s.2015-12-26T120008Z.304.image_lev1.fits,2015-12-26T120000Z/aia.lev1_euv_12s.2015-12-26T120003Z.335.image_lev1.fits,2015-12-26T120000Z/hmi.m_720s.20151226_120000_TAI.1.magnetogram.fits
2015-12-27T12:00:00Z,2015-12-27T11:12:00Z,2015-12-27T11:12:00Z,2015-12-27T111200Z/aia.lev1_euv_12s.2015-12-27T111202Z.94.image_lev1.fits,2015-12-27T111200Z/aia.lev1_euv_12s.2015-12-27T111209Z.131.image_lev1.fits,2015-12-27T111200Z/aia.lev1_euv_12s.2015-12-27T111211Z.171.image_lev1.fits,2015-12-27T111200Z/aia.lev1_euv_12s.2015-12-27T111207Z.193.image_lev1.fits,2015-12-27T111200Z/aia.lev1_euv_12s.2015-12-27T111200Z.211.image_lev1.fits,2015-12-27T111200Z/aia.lev1_euv_12s.2015-12-27T111208Z.304.image_lev1.fits,2015-12-27T111200Z/aia.lev1_euv_12s.2015-12-27T111203Z.335.image_lev1.fits,2015-12-27T111200Z/hmi.m_720s.20151227_111200_TAI.1.magnetogram.fits
2015-12-28T12:00:00Z,2015-12-28T12:00:00Z,2015-12-28T12:00:00Z,2015-12-28T120000Z/aia.lev1_euv_12s.2015-12-28T120002Z.94.image_lev1.fits,2015-12-28T120000Z/aia.lev1_euv_12s.2015-12-28T120009Z.131.image_lev1.fits,2015-12-28T120000Z/aia.lev1_euv_12s.2015-12-28T120011Z.171.image_lev1.fits,2015-12-28T120000Z/aia.lev1_euv_12s.2015-12-28T120007Z.193.image_lev1.fits,2015-12-28T120000Z/aia.lev1_euv_12s.2015-12-28T120000Z.211.image_lev1.fits,2015-12-28T120000Z/aia.lev1_euv_12s.2015-12-28T120008Z.304.image_lev1.fits,2015-12-28T120000Z/aia.lev1_euv_12s.2015-12-28T120003Z.335.image_lev1.fits,2015-12-28T120000Z/hmi.m_720s.20151228_120000_TAI.1.magnetogram.fits
2015-12-29T12:00:00Z,2015-12-29T12:00:00Z,2015-12-29T12:00:00Z,2015-12-29T120000Z/aia.lev1_euv_12s.2015-12-29T120002Z.94.image_lev1.fits,2015-12-29T120000Z/aia.lev1_euv_12s.2015-12-29T120009Z.131.image_lev1.fits,2015-12-29T120000Z/aia.lev1_euv_12s.2015-12-29T120011Z.171.image_lev1.fits,2015-12-29T120000Z/aia.lev1_euv_12s.2015-12-29T120007Z.193.image_lev1.fits,2015-12-29T120000Z/aia.lev1_euv_12s.2015-12-29T120000Z.211.image_lev1.fits,2015-12-29T120000Z/aia.lev1_euv_12s.2015-12-29T120008Z.304.image_lev1.fits,2015-12-29T120000Z/aia.lev1_euv_12s.2015-12-29T120003Z.335.image_lev1.fits,2015-12-29T120000Z/hmi.m_720s.20151229_120000_TAI.1.magnetogram.fits
2015-12-30T12:00:00Z,2015-12-30T12:00:00Z,2015-12-30T12:00:00Z,2015-12-30T120000Z/aia.lev1_euv_12s.2015-12-30T120002Z.94.image_lev1.fits,2015-12-30T120000Z/aia.lev1_euv_12s.2015-12-30T120009Z.131.image_lev1.fits,2015-12-30T120000Z/aia.lev1_euv_12s.2015-12-30T120011Z.171.image_lev1.fits,2015-12-30T120000Z/aia.lev1_euv_12s.2015-12-30T120007Z.193.image_lev1.fits,2015-12-30T120000Z/aia.lev1_euv_12s.2015-12-30T120000Z.211.image_lev1.fits,2015-12-30T120000Z/aia.lev1_euv_12s.2015-12-30T120008Z.304.image_lev1.fits,2015-12-30T120000Z/aia.lev1_euv_12s.2015-12-30T120003Z.335.image_lev1.fits,2015-12-30T120000Z/hmi.m_720s.20151230_120000_TAI.1.magnetogram.fits
2015-12-31T12:00:00Z,2015-12-31T12:00:00Z,2015-12-31T12:00:00Z,2015-12-31T120000Z/aia.lev1_euv_12s.2015-12-31T120002Z.94.image_lev1.fits,2015-12-31T120000Z/aia.lev1_euv_12s.2015-12-31T120009Z.131.image_lev1.fits,2015-12-31T120000Z/aia.lev1_euv_12s.2015-12-31T120011Z.171.image_lev1.fits,2015-12-31T120000Z/aia.lev1_euv_12s.2015-12-31T120007Z.193.image_lev1.fits,2015-12-31T120000Z/aia.lev1_euv_12s.2015-12-31T120000Z.211.image_lev1.fits,2015-12-31T120000Z/aia.lev1_euv_12s.2015-12-31T120008Z.304.image_lev1.fits,2015-12-31T120000Z/aia.lev1_euv_12s.2015-12-31T120003Z.335.image_lev1.fits,2015-12-31T120000Z/hmi.m_720s.20151231_120000_TAI.1.magnetogram.fits
2016-01-01T12:00:00Z,2016-01-01T12:00:00Z,2016-01-01T12:00:00Z,2016-01-01T120000Z/aia.lev1_euv_12s.2016-01-01T120002Z.94.image_lev1.fits,2016-01-01T120000Z/aia.lev1_euv_12s.2016-01-01T120009Z.131.image_lev1.fits,2016-01-01T120000Z/aia.lev1_euv_12s.2016-01-01T120011Z.171.image_lev1.fits,2016-01-01T120000Z/aia.lev1_euv_12s.2016-01-01T120007Z.193.image_lev1.fits,2016-01-01T120000Z/aia.lev1_euv_12s.2016-01-01T120000Z.211.image_lev1.fits,2016-01-01T120000Z/aia.lev1_euv_12s.2016-01-01T120008Z.304.image_lev1.fits,2016-01-01T120000Z/aia.lev1_euv_12s.2016-01-01T120003Z.335.image_lev1.fits,2016-01-01T120000Z/hmi.m_720s.20160101_120000_TAI.1.magnetogram.fits
2016-01-02T12:00:00Z,2016-01-02T12:00:00Z,2016-01-02T12:00:00Z,2016-01-02T120000Z/aia.lev1_euv_12s.2016-01-02T120002Z.94.image_lev1.fits,2016-01-02T120000Z/aia.lev1_euv_12s.2016-01-02T120009Z.131.image_lev1.fits,2016-01-02T120000Z/aia.lev1_euv_12s.2016-01-02T120011Z.171.image_lev1.fits,2016-01-02T120000Z/aia.lev1_euv_12s.2016-01-02T120007Z.193.image_lev1.fits,2016-01-02T120000Z/aia.lev1_euv_12s.2016-01-02T120000Z.211.image_lev1.fits,2016-01-02T120000Z/aia.lev1_euv_12s.2016-01-02T120008Z.304.image_lev1.fits,2016-01-02T120000Z/aia.lev1_euv_12s.2016-01-02T120003Z.335.image_lev1.fits,2016-01-02T120000Z/hmi.m_720s.20160102_120000_TAI.1.magnetogram.fits
2016-01-03T12:00:00Z,2016-01-03T12:00:00Z,2016-01-03T12:00:00Z,2016-01-03T120000Z/aia.lev1_euv_12s.2016-01-03T120002Z.94.image_lev1.fits,2016-01-03T120000Z/aia.lev1_euv_12s.2016-01-03T120009Z.131.image_lev1.fits,2016-01-03T120000Z/aia.lev1_euv_12s.2016-01-03T120011Z.171.image_lev1.fits,2016-01-03T120000Z/aia.lev1_euv_12s.2016-01-03T120007Z.193.image_lev1.fits,2016-01-03T120000Z/aia.lev1_euv_12s.2016-01-03T120000Z.211.image_lev1.fits,2016-01-03T120000Z/aia.lev1_euv_12s.2016-01-03T120008Z.304.image_lev1.fits,2016-01-03T120000Z/aia.lev1_euv_12s.2016-01-03T120003Z.335.image_lev1.fits,2016-01-03T120000Z/hmi.m_720s.20160103_120000_TAI.1.magnetogram.fits
