T_intended,T_requested,T_REC,94,131,171,193,211,304,335,Magnetogram
2017-05-26T12:00:00Z,2017-05-26T12:00:00Z,2017-05-26T11:59:59Z,2017-05-26T115959Z/aia.lev1_euv_12s.2017-05-26T120001Z.94.image_lev1.fits,2017-05-26T115959Z/aia.lev1_euv_12s.2017-05-26T120008Z.131.image_lev1.fits,2017-05-26T115959Z/aia.lev1_euv_12s.2017-05-26T120010Z.171.image_lev1.fits,2017-05-26T115959Z/aia.lev1_euv_12s.2017-05-26T120006Z.193.image_lev1.fits,2017-05-26T115959Z/aia.lev1_euv_12s.2017-05-26T115959Z.211.image_lev1.fits,2017-05-26T115959Z/aia.lev1_euv_12s.2017-05-26T120007Z.304.image_lev1.fits,2017-05-26T115959Z/aia.lev1_euv_12s.2017-05-26T120002Z.335.image_lev1.fits,2017-05-26T115959Z/hmi.m_720s.20170526_120000_TAI.3.magnetogram.fits
2017-05-27T12:00:00Z,2017-05-27T12:00:00Z,2017-05-27T11:59:59Z,2017-05-27T115959Z/aia.lev1_euv_12s.2017-05-27T120001Z.94.image_lev1.fits,2017-05-27T115959Z/aia.lev1_euv_12s.2017-05-27T120008Z.131.image_lev1.fits,2017-05-27T115959Z/aia.lev1_euv_12s.2017-05-27T120010Z.171.image_lev1.fits,2017-05-27T115959Z/aia.lev1_euv_12s.2017-05-27T120006Z.193.image_lev1.fits,2017-05-27T115959Z/aia.lev1_euv_12s.2017-05-27T115959Z.211.image_lev1.fits,2017-05-27T115959Z/aia.lev1_euv_12s.2017-05-27T120007Z.304.image_lev1.fits,2017-05-27T115959Z/aia.lev1_euv_12s.2017-05-27T120002Z.335.image_lev1.fits,2017-05-27T115959Z/hmi.m_720s.20170527_120000_TAI.3.magnetogram.fits
2017-05-28T12:00:00Z,2017-05-28T12:00:00Z,2017-05-28T11:59:59Z,2017-05-28T115959Z/aia.lev1_euv_12s.2017-05-28T120001Z.94.image_lev1.fits,2017-05-28T115959Z/aia.lev1_euv_12s.2017-05-28T120008Z.131.image_lev1.fits,2017-05-28T115959Z/aia.lev1_euv_12s.2017-05-28T120010Z.171.image_lev1.fits,2017-05-28T115959Z/aia.lev1_euv_12s.2017-05-28T120006Z.193.image_lev1.fits,2017-05-28T115959Z/aia.lev1_euv_12s.2017-05-28T115959Z.211.image_lev1.fits,2017-05-28T115959Z/aia.lev1_euv_12s.2017-05-28T120007Z.304.image_lev1.fits,2017-05-28T115959Z/aia.lev1_euv_12s.2017-05-28T120002Z.335.image_lev1.fits,2017-05-28T115959Z/hmi.m_720s.20170528_120000_TAI.3.magnetogram.fits
2017-05-29T12:00:00Z,2017-05-29T12:00:00Z,2017-05-29T11:59:59Z,2017-05-29T115959Z/aia.lev1_euv_12s.2017-05-29T120001Z.94.image_lev1.fits,2017-05-29T115959Z/aia.lev1_euv_12s.2017-05-29T120008Z.131.image_lev1.fits,2017-05-29T115959Z/aia.lev1_euv_12s.2017-05-29T120010Z.171.image_lev1.fits,2017-05-29T115959Z/aia.lev1_euv_12s.2017-05-29T120006Z.193.image_lev1.fits,2017-05-29T115959Z/aia.lev1_euv_12s.2017-05-29T115959Z.211.image_lev1.fits,2017-05-29T115959Z/aia.lev1_euv_12s.2017-05-29T120007Z.304.image_lev1.fits,2017-05-29T115959Z/aia.lev1_euv_12s.2017-05-29T120002Z.335.image_lev1.fits,2017-05-29T115959Z/hmi.m_720s.20170529_120000_TAI.3.magnetogram.fits
2017-05-30T12:00:00Z,2017-05-30T11:48:00Z,2017-05-30T11:47:59Z,2017-05-30T114759Z/aia.lev1_euv_12s.2017-05-30T114801Z.94.image_lev1.fits,2017-05-30T114759Z/aia.lev1_euv_12s.2017-05-30T114808Z.131.image_lev1.fits,2017-05-30T114759Z/aia.lev1_euv_12s.2017-05-30T114810Z.171.image_lev1.fits,2017-05-30T114759Z/aia.lev1_euv_12s.2017-05-30T114806Z.193.image_lev1.fits,2017-05-30T114759Z/aia.lev1_euv_12s.2017-05-30T114759Z.211.image_lev1.fits,2017-05-30T114759Z/aia.lev1_euv_12s.2017-05-30T114807Z.304.image_lev1.fits,2017-05-30T114759Z/aia.lev1_euv_12s.2017-05-30T114802Z.335.image_lev1.fits,2017-05-30T114759Z/hmi.m_720s.20170530_114800_TAI.3.magnetogram.fits
2017-05-31T12:00:00Z,2017-05-31T12:00:00Z,2017-05-31T11:59:59Z,2017-05-31T115959Z/aia.lev1_euv_12s.2017-05-31T120001Z.94.image_lev1.fits,2017-05-31T115959Z/aia.lev1_euv_12s.2017-05-31T120008Z.131.image_lev1.fits,2017-05-31T115959Z/aia.lev1_euv_12s.2017-05-31T120010Z.171.image_lev1.fits,2017-05-31T115959Z/aia.lev1_euv_12s.2017-05-31T120006Z.193.image_lev1.fits,2017-05-31T115959Z/aia.lev1_euv_12s.2017-05-31T115959Z.211.image_lev1.fits,2017-05-31T115959Z/aia.lev1_euv_12s.2017-05-31T120007Z.304.image_lev1.fits,2017-05-31T115959Z/aia.lev1_euv_12s.2017-05-31T120002Z.335.image_lev1.fits,2017-05-31T115959Z/hmi.m_720s.20170531_120000_TAI.3.magnetogram.fits
2017-06-01T12:00:00Z,2017-06-01T12:00:00Z,2017-06-01T11:59:59Z,2017-06-01T115959Z/aia.lev1_euv_12s.2017-06-01T120001Z.94.image_lev1.fits,2017-06-01T115959Z/aia.lev1_euv_12s.2017-06-01T120008Z.131.image_lev1.fits,2017-06-01T115959Z/aia.lev1_euv_12s.2017-06-01T120010Z.171.image_lev1.fits,2017-06-01T115959Z/aia.lev1_euv_12s.2017-06-01T120006Z.193.image_lev1.fits,2017-06-01T115959Z/aia.lev1_euv_12s.2017-06-01T115959Z.211.image_lev1.fits,2017-06-01T115959Z/aia.lev1_euv_12s.2017-06-01T120007Z.304.image_lev1.fits,2017-06-01T115959Z/aia.lev1_euv_12s.2017-06-01T120002Z.335.image_lev1.fits,2017-06-01T115959Z/hmi.m_720s.20170601_120000_TAI.3.magnetogram.fits
2017-06-02T12:00:00Z,2017-06-02T12:00:00Z,2017-06-02T11:59:59Z,2017-06-02T115959Z/aia.lev1_euv_12s.2017-06-02T120001Z.94.image_lev1.fits,2017-06-02T115959Z/aia.lev1_euv_12s.2017-06-02T120008Z.131.image_lev1.fits,2017-06-02T115959Z/aia.lev1_euv_12s.2017-06-02T120010Z.171.image_lev1.fits,2017-06-02T115959Z/aia.lev1_euv_12s.2017-06-02T120006Z.193.image_lev1.fits,2017-06-02T115959Z/aia.lev1_euv_12s.2017-06-02T115959Z.211.image_lev1.fits,2017-06-02T115959Z/aia.lev1_euv_12s.2017-06-02T120007Z.304.image_lev1.fits,2017-06-02T115959Z/aia.lev1_euv_12s.2017-06-02T120002Z.335.image_lev1.fits,2017-06-02T115959Z/hmi.m_720s.20170602_120000_TAI.3.magnetogram.fits
2017-06-03T12:00:00Z,2017-06-03T12:00:00Z,2017-06-03T11:59:59Z,2017-06-03T115959Z/aia.lev1_euv_12s.2017-06-03T120001Z.94.image_lev1.fits,2017-06-03T115959Z/aia.lev1_euv_12s.2017-06-03T120008Z.131.image_lev1.fits,2017-06-03T115959Z/aia.lev1_euv_12s.2017-06-03T120010Z.171.image_lev1.fits,2017-06-03T115959Z/aia.lev1_euv_12s.2017-06-03T120006Z.193.image_lev1.fits,2017-06-03T115959Z/aia.lev1_euv_12s.2017-06-03T115959Z.211.image_lev1.fits,2017-06-03T115959Z/aia.lev1_euv_12s.2017-06-03T120007Z.304.image_lev1.fits,2017-06-03T115959Z/aia.lev1_euv_12s.2017-06-03T120002Z.335.image_lev1.fits,2017-06-03T115959Z/hmi.m_720s.20170603_120000_TAI.3.magnetogram.fits
2017-06-04T12:00:00Z,2017-06-04T12:00:00Z,2017-06-04T11:59:59Z,2017-06-04T115959Z/aia.lev1_euv_12s.2017-06-04T120001Z.94.image_lev1.fits,2017-06-04T115959Z/aia.lev1_euv_12s.2017-06-04T120008Z.131.image_lev1.fits,2017-06-04T115959Z/aia.lev1_euv_12s.2017-06-04T120010Z.171.image_lev1.fits,2017-06-04T115959Z/aia.lev1_euv_12s.2017-06-04T120006Z.193.image_lev1.fits,2017-06-04T115959Z/aia.lev1_euv_12s.2017-06-04T115959Z.211.image_lev1.fits,2017-06-04T115959Z/aia.lev1_euv_12s.2017-06-04T120007Z.304.image_lev1.fits,2017-06-04T115959Z/aia.lev1_euv_12s.2017-06-04T120002Z.335.image_lev1.fits,2017-06-04T115959Z/hmi.m_720s.20170604_120000_TAI.3.magnetogram.fits
